feature,core,tail,whole
mean_frac_hydrophobic,0.0009034039012424976,0.018391787944578342,0.4306629514496917
mean_n_hydrophobic,0.5430476329761953,0.018070300291515434,0.39522127321809086
mean_n_neg_charged,0.10457656633146613,2.792711164970321e-06,0.0029750916379702387
mean_n_polar,0.0057540631774840156,0.42684708468651844,0.05369736346846501
mean_n_pos_charged,0.005256095416823997,0.9739142157748508,0.6565271274983683
mean_n_total,0.0018315873627547969,0.09217689683266744,0.014846029943402143
