feature,n_binder,n_fp,mean_binder,mean_fp,cohens_d,auc,p,q
mean_n_pos_charged,47,48,1.2023505374217975,1.5079549468764435,-0.6022125721989349,0.33333333333333326,0.005188410794471038,0.02090652452382684
mean_n_total,47,48,7.52330157540816,8.106065392244776,-0.5630232936992835,0.33909574468085113,0.006968841507942279,0.02090652452382684
mean_n_hydrophobic,47,48,4.409221072276597,4.937226569930165,-0.4779208430964268,0.37234042553191493,0.032350364905123226,0.06470072981024645
mean_n_polar,47,48,1.6896152798808082,1.498063911306758,0.1997364762871092,0.610372340425532,0.06434845077694785,0.09652267616542179
mean_n_neg_charged,47,48,0.2221146858289581,0.16281996413140942,0.1787016136693816,0.581781914893617,0.1697411141843771,0.17908358542958303
mean_frac_hydrophobic,47,48,0.5798631443739232,0.6052734875957128,-0.23623610341822227,0.41976950354609927,0.17908358542958303,0.17908358542958303
